season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,league_name,league_id,team_name,team_id,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90
2014-2015,Grégory Sertic,fr FRA,MF,24.0,27.0,24.0,2089.0,23.2,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Diego Contento,de GER,DF,24.0,25.0,23.0,1983.0,22.0,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Lamine Sané,sn SEN,"DF,MF",27.0,23.0,22.0,1930.0,21.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.05,0.05,0.09,0.05,0.09,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Thomas Touré,ci CIV,"FW,MF",20.0,23.0,16.0,1512.0,16.8,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,0.12,0.18,0.3,0.12,0.3,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Nicolas Maurice-Belay,fr FRA,"FW,MF",29.0,32.0,15.0,1637.0,18.2,2.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.11,0.22,0.33,0.11,0.33,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Cédric Yamberé,cf CTA,DF,23.0,16.0,15.0,1181.0,13.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Clément Chantôme,fr FRA,MF,26.0,13.0,13.0,1170.0,13.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Cheick Diabaté,ml MLI,FW,26.0,15.0,13.0,1076.0,12.0,8.0,2.0,10.0,6.0,2.0,2.0,1.0,1.0,0.67,0.17,0.84,0.5,0.67,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Isaac Kiese Thelin,se SWE,FW,22.0,15.0,12.0,1031.0,11.5,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.09,0.26,0.35,0.09,0.35,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Tiago Ilori,pt POR,DF,21.0,12.0,12.0,1016.0,11.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Maxime Poundjé,fr FRA,DF,21.0,12.0,12.0,959.0,10.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.09,0.09,0.19,0.09,0.19,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Julien Faubert,fr FRA,"DF,FW",30.0,13.0,11.0,969.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,André Biyogo Poko,ga GAB,MF,21.0,16.0,11.0,898.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Abdou Traoré,ml MLI,MF,26.0,17.0,8.0,702.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Henri Saivet,sn SEN,"FW,MF",23.0,14.0,7.0,735.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Marc Planus,fr FRA,DF,32.0,8.0,6.0,470.0,5.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Emiliano Sala,ar ARG,FW,23.0,11.0,4.0,513.0,5.7,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.18,0.0,0.18,0.0,0.0,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Younès Kaabouni,fr FRA,MF,19.0,12.0,2.0,404.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2014-2015,Enzo Crivelli,fr FRA,FW,19.0,11.0,1.0,246.0,2.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.37,0.37,0.73,0.37,0.73,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
